MemTotal:       16384000 kB
MemFree:         2000000 kB
MemAvailable:    8000000 kB
Buffers:          500000 kB
Cached:          4500000 kB
SwapCached:            0 kB
Active:          9000000 kB
Inactive:        3000000 kB
Active(anon):    5000000 kB
Inactive(anon):  1000000 kB
Active(file):    4000000 kB
Inactive(file):  2000000 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097152 kB
SwapFree:        2000000 kB
Dirty:              1000 kB
Writeback:             0 kB
AnonPages:       6000000 kB
Mapped:          1000000 kB
Shmem:            500000 kB
Slab:             300000 kB
SReclaimable:     200000 kB
SUnreclaim:       100000 kB
KernelStack:        1600 kB
PageTables:        30000 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    10000000 kB
Committed_AS:    9000000 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       20000 kB
VmallocChunk:          0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
DirectMap4k:       10240 kB
DirectMap2M:     1015808 kB
